trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
426,False,"{'a': 0.01, 'e': 0.014122302410163962}",20,0,26.829990702437968,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
427,False,"{'a': 0.01, 'e': 0.013981783153338296}",25,5,37.24024976935625,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
428,False,"{'a': 0.01, 'e': 0.013842662086479501}",20,6,24.99142648908648,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
429,False,"{'a': 0.01, 'e': 0.013704925297364945}",25,0,36.138435805297746,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
430,False,"{'a': 0.01, 'e': 0.013568559012200934}",25,14,19.8325654200544,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
431,False,"{'a': 0.01, 'e': 0.013433549594245302}",25,17,13.176042296691191,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
432,False,"{'a': 0.01, 'e': 0.013299883542443767}",20,0,6.461770149027638,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
433,False,"{'a': 0.01, 'e': 0.013167547490079751}",20,0,30.249651585434485,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
434,False,"{'a': 0.01, 'e': 0.013036528203437736}",20,0,5.215405145476981,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
435,False,"{'a': 0.01, 'e': 0.012906812580479862}",20,0,-11.96145834639038,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
